"","yellow2","purple","sienna1","X.FF3E96","royalblue3","palegreen3","species"
"Thalassoma.bifasciatum",9.96577385850012e-06,9.86755946011682e-06,0.297028207257937,9.80132270206367e-06,9.97823103590171e-06,9.98743281083516e-06,"Thalassoma bifasciatum"
"Malacanthus.plumieri",9.99777893485968e-06,9.99117989405741e-06,0.0198594531590673,9.98645686378523e-06,9.99858818931734e-06,9.99915062905886e-06,"Malacanthus plumieri"
"Halichoeres.garnoti",9.99202597761117e-06,9.97004442206294e-06,0.065321346532793,9.95552718635228e-06,9.99483667720956e-06,9.99698822075191e-06,"Halichoeres garnoti"
"NA..67",9.99943403366658e-06,9.99769300284944e-06,0.00536640010242849,9.99651259047322e-06,9.99964225019972e-06,9.99975946159595e-06,NA
"NA..68",0.303493967147669,0.0295573944859973,0.258427961650768,9.31959765940843e-06,9.94435055847701e-06,9.97325106638207e-06,NA
"Abudefduf.saxatilis",9.96608564308447e-06,9.87081816950794e-06,0.287371393798698,9.80681605641285e-06,9.97831129217646e-06,9.98744031480258e-06,"Abudefduf saxatilis"
"Halichoeres.bivittatus",9.97385242597634e-06,9.90167392444723e-06,0.216779436014069,9.85420697852634e-06,9.98330020316486e-06,9.99031699022007e-06,"Halichoeres bivittatus"
"NA..69",9.96375644798314e-06,9.85113699328273e-06,0.275563827244598,0.069075292410959,9.97800915346378e-06,9.98699182085464e-06,NA
"NA..70",9.9829134150838e-06,9.94239493044458e-06,0.0567944087208232,9.90141655183583e-06,9.98777097734464e-06,0.0871634010392809,NA
"NA..71",9.97767310297413e-06,9.91621874559013e-06,0.183302979255704,9.87715440535946e-06,9.98552324008737e-06,9.99165216209491e-06,NA
"NA..72",9.99957479383031e-06,9.99840925450573e-06,0.00358391130886655,9.99758852347967e-06,9.99971910738652e-06,9.99979886366206e-06,NA
"NA..73",9.99057399269872e-06,9.9663352773165e-06,0.0726223007643554,9.95260154256376e-06,9.99401540952657e-06,9.99652604468813e-06,NA
"NA..74",0.00230993749790795,0.0148461825683268,0.018666049534159,0.0108245779209764,9.99483910833046e-06,9.9979051880976e-06,NA
"NA..75",9.99774216326608e-06,9.99168140693116e-06,0.018111802975618,9.98787425300682e-06,9.99855496708076e-06,9.99912972646463e-06,NA
"Astrapogon.puncticulatus",9.99885698620026e-06,9.99584107938806e-06,0.00904490004230748,9.99385967559502e-06,9.999259461921e-06,9.99953152093586e-06,"Astrapogon puncticulatus"
"Halichoeres.maculipinna",9.98746938904708e-06,9.95193629472415e-06,0.106034851676357,9.92806734847387e-06,9.9919497227268e-06,9.99533145245082e-06,"Halichoeres maculipinna"
"Cryptotomus.roseus",9.99411290219226e-06,9.97751816484154e-06,0.049769070029702,9.96679648325266e-06,9.99630627368513e-06,9.99783826490471e-06,"Cryptotomus roseus"
"Halichoeres.poeyi",9.99787937245531e-06,9.99162810510519e-06,0.0189337848230546,9.98735683050135e-06,9.99869373771037e-06,9.9992101876899e-06,"Halichoeres poeyi"
"NA..76",9.99443630027341e-06,9.97924236049141e-06,0.0452958944263995,9.97048217972153e-06,9.99638927376495e-06,9.99791759535455e-06,NA
"Acanthocybium.solandri",9.99643949075253e-06,9.98607608148048e-06,0.0315455440067513,9.9799033409868e-06,9.99780347083832e-06,9.9987286680864e-06,"Acanthocybium solandri"
"NA..77",9.99841504937944e-06,9.99390584402314e-06,0.0135480976779768,9.9908146193131e-06,9.99897906204924e-06,9.99937575369895e-06,NA
"NA..78",9.99569154978462e-06,9.98405380529896e-06,0.0344905117073499,9.97642475436162e-06,9.99719278495599e-06,9.9983401144195e-06,NA
"Diaphus.splendidus",9.99430003619531e-06,0.00602936849892783,0.00228582212392553,9.98108247915549e-06,9.998569236142e-06,9.99951713930731e-06,"Diaphus splendidus"
"Scomberomorus.cavalla",9.99905441191515e-06,9.99587655227654e-06,0.00983250077765953,9.99373913018186e-06,9.99943685340502e-06,9.99964978566383e-06,"Scomberomorus cavalla"
"NA..79",9.97652810194958e-06,0.0159412118153852,0.0559295646015403,9.91117478221888e-06,9.99153979452715e-06,9.99620276340409e-06,NA
"NA..80",9.99973570126775e-06,9.9991513340029e-06,0.00179305182725874,9.99873488669046e-06,9.99980754300041e-06,9.99984799627288e-06,NA
"Tylosurus.crocodilus",0.0232769980004536,0.0465567052280893,0.143178438577049,9.71817540469175e-06,9.97444227610652e-06,9.98889910781755e-06,"Tylosurus crocodilus"
"NA..81",9.99130630699675e-06,9.96672558982684e-06,0.0725602206662855,9.95073065062377e-06,9.9942823140488e-06,9.99669134298276e-06,NA
"Diodon.hystrix",0.0254295223072992,0.0015409449268898,0.0777045520698006,9.89867150845643e-06,9.99118583913464e-06,9.99509924288833e-06,"Diodon hystrix"
"NA..82",9.99966419908277e-06,9.99878893197597e-06,0.0026852727760411,9.99818871911101e-06,9.99976775484568e-06,9.99982706455848e-06,NA
"NA..83",9.99729564381375e-06,9.98964833852456e-06,0.0226465551376179,9.98447632012074e-06,9.99821517892273e-06,9.99893804335915e-06,NA
"Haemulon.sciurus",9.98602076201666e-06,9.94939848870355e-06,0.109053526150732,9.92649074411824e-06,9.99104167283901e-06,9.99476985592498e-06,"Haemulon sciurus"
"Seriola.rivoliana",0.0011742285884735,9.9928286878419e-06,0.0152407063920875,9.9889852060553e-06,9.99891157436834e-06,9.99934806021074e-06,"Seriola rivoliana"
"NA..84",9.99973633470668e-06,9.99915501803334e-06,0.00179192630292032,9.9987456374025e-06,9.99980959125184e-06,9.99984955643426e-06,NA
"Lachnolaimus.maximus",9.99880864196169e-06,9.99578132653687e-06,0.00906349595198997,9.99377619563273e-06,9.99921860880247e-06,9.99950565766805e-06,"Lachnolaimus maximus"
"Gnatholepis.cauerensis",0.061555147755021,0.0177813699071841,0.196098825505398,0.0890312763539123,9.97316955456557e-06,9.98573343671444e-06,"Gnatholepis cauerensis"
"NA..85",9.99896834977577e-06,9.99575848310073e-06,0.00987142506527879,9.99341521715021e-06,9.99937849151108e-06,9.99960278754572e-06,NA
"NA..86",9.99972837057017e-06,9.99914440485e-06,0.00179542019662254,9.99871693688164e-06,9.99980440820827e-06,9.99984531591606e-06,NA
"NA..87",9.99845673233524e-06,9.99350811466234e-06,0.0152537011757713,9.9899070210385e-06,9.99909886628655e-06,9.99944396827293e-06,NA
"NA..88",9.99972837057017e-06,9.99914440485e-06,0.00179542019662254,9.99871693688164e-06,9.99980440820827e-06,9.99984531591606e-06,NA
"NA..89",9.9951477646982e-06,9.98023803311826e-06,0.0450952101731528,9.96961382361719e-06,9.99701397086018e-06,9.99825338725094e-06,NA
"Caranx.ignobilis",0.0453698973713537,9.97487156702493e-06,0.0158649808905848,9.93634327055166e-06,9.99664851525199e-06,9.99784342282969e-06,"Caranx ignobilis"
"NA..90",9.98507775156209e-06,9.94346393531063e-06,0.125000224510558,9.91673777592616e-06,9.99062391998003e-06,9.9945649739921e-06,NA
"Carangoides.ruber",9.9993828085528e-06,9.99762612788974e-06,0.00538856496125609,9.99632979014808e-06,9.99960918958786e-06,9.99973307726686e-06,"Carangoides ruber"
"NA..91",9.98782079988797e-06,9.95538500391236e-06,0.0963332889558266,9.9341090402229e-06,9.99212727182924e-06,9.99539166063127e-06,NA
"Sphoeroides.spengleri",9.99720912187674e-06,9.9896423063605e-06,0.0226495566069085,9.98454848996219e-06,9.99823283695826e-06,9.99893191274252e-06,"Sphoeroides spengleri"
"Haemulon.flavolineatum",9.99022338217689e-06,9.96278434266108e-06,0.0816012672073944,9.94460148564524e-06,9.9936885479101e-06,9.99633262536295e-06,"Haemulon flavolineatum"
"NA..92",9.98717615707189e-06,9.95151621140528e-06,0.106932546923601,9.92793519019526e-06,9.99193595151809e-06,9.99528828919353e-06,NA
"NA..93",9.99855330252997e-06,9.99461036210391e-06,0.0117607084135665,9.99203954076553e-06,9.99905582054715e-06,9.99941735256272e-06,NA
"NA..94",9.98734885928512e-06,9.95374233259627e-06,0.0999746826085903,9.93138652337188e-06,9.99185771462862e-06,9.99522232146378e-06,NA
"NA..95",9.99365000797461e-06,9.9768135713424e-06,0.0499640745082315,9.9658255593734e-06,9.99590978359549e-06,9.99758517527477e-06,NA
"Balistes.capriscus",9.9989363316725e-06,9.99620714150006e-06,0.00814679688167382,9.994534597942e-06,9.9992967847899e-06,9.99955646712399e-06,"Balistes capriscus"
"NA..96",9.99973523292958e-06,9.99915336427094e-06,0.00179246132246737,9.99874072723424e-06,9.99980896586335e-06,9.99984886482718e-06,NA
"NA..97",9.99686850781773e-06,9.98813281818997e-06,0.0262410789648947,9.98217344569765e-06,9.99804079991248e-06,9.99882217561258e-06,NA
"NA..98",9.99146572762411e-06,9.9670796570184e-06,0.073274190650963,9.95109640117126e-06,9.99468537243338e-06,9.99689975699568e-06,NA
"Cephalopholis.cruentata",9.98813095625536e-06,9.95567260183077e-06,0.0962816040892116,9.93358973470106e-06,9.99227802004495e-06,9.99548297455097e-06,"Cephalopholis cruentata"
"NA..99",9.9987578832311e-06,9.99542065822798e-06,0.00996202900583371,9.99303169545657e-06,9.99917575217094e-06,9.99948279553198e-06,NA
"NA..100",9.9915645480409e-06,9.96954754158616e-06,0.0654310310566797,9.9556833534438e-06,9.99459940404841e-06,9.99682447675679e-06,NA
"NA..101",9.99948120622966e-06,9.99802926990744e-06,0.00448363682787613,9.99697901678035e-06,9.99966858715568e-06,9.99976913740884e-06,NA
"NA..102",0.0190697681775876,0.123760891025305,0.120865995801291,9.48174140715524e-06,9.94559724319416e-06,9.98125592875163e-06,NA
"Chromis.cyanea",9.99520799872095e-06,9.98155067542433e-06,0.0407502724863356,9.97212414874695e-06,9.99693083168339e-06,9.99818954762792e-06,"Chromis cyanea"
